id,creator_id,title,description,domain,difficulty,required_hours,max_members,team_atmosphere,desired_collaboration_style
1,209,급식 리뷰 서비스 1,음악 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,음악,3,19,4,성장 중심,빠른실험형
2,7,학교 커뮤니티 앱 2,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,1,20,5,빡세게 몰입,자율형
3,74,감정 일기 앱 3,생산성 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,생산성,4,21,3,자유로운 분위기,빠른실험형
4,187,음악 추천 서비스 4,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,5,8,4,자유로운 분위기,소통중심형
5,218,학교 커뮤니티 앱 5,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,5,17,3,빡세게 몰입,소통중심형
6,205,스터디 매칭 서비스 6,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,5,23,5,안정적인 분위기,빠른실험형
7,143,환경 챌린지 앱 7,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,5,17,6,성장 중심,빠른실험형
8,119,환경 챌린지 앱 8,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,1,13,6,결과 중심,자율형
9,14,개발자 포트폴리오 플랫폼 9,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,1,7,6,안정적인 분위기,빠른실험형
10,50,운동 기록 앱 10,음악 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,음악,3,9,5,성장 중심,문서중심형
11,255,학교 커뮤니티 앱 11,SNS 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,SNS,4,11,5,안정적인 분위기,문서중심형
12,10,AI 팀 빌딩 서비스 12,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,5,15,7,성장 중심,빠른실험형
13,227,코딩 테스트 훈련 서비스 13,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,4,19,5,결과 중심,자율형
14,85,학교 커뮤니티 앱 14,교육 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,교육,2,22,5,안정적인 분위기,빠른실험형
15,292,학교 커뮤니티 앱 15,커머스 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,커머스,3,17,6,자유로운 분위기,문서중심형
